,tmean,tmax,tmin,humr,ptot
AMAZONAS,7,9,7,20,10
LIMA METROPOLITANA,8,8,9,9,11
TUMBES,6,0,8,11,12
MOQUEGUA,0,0,20,17,17
MADRE DE DIOS,8,12,1,0,20
SAN MARTIN,14,16,5,18,11
CUSCO,15,18,9,5,8
CALLAO,8,7,8,9,10
JUNIN,3,5,1,20,4
PIURA,7,15,7,7,6
UCAYALI,1,8,20,12,0
ANCASH,4,3,5,13,12
APURIMAC,19,20,10,8,14
ICA,6,6,7,8,10
LAMBAYEQUE,7,11,7,7,9
AYACUCHO,20,12,20,20,20
LIMA,9,9,9,9,11
PASCO,1,4,0,20,20
LA LIBERTAD,5,3,7,10,12
HUANUCO,20,10,1,20,1
CAJAMARCA,20,6,9,6,8
LORETO,9,12,6,12,3
PUNO,7,13,0,20,0
AREQUIPA,16,20,12,9,10
